name,smiles
MAFENIDE,NCc1ccc(S(N)(=O)=O)cc1
SULFANILAMIDE,Nc1ccc(S(N)(=O)=O)cc1
GUANABENZ,N=C(N)N/N=C/c1c(Cl)cccc1Cl
TRIMETHOPRIM,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
VERAPAMIL,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC
SULFASALAZINE,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O
COUMARIN,O=c1ccc2ccccc2o1
DILTIAZEM,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1
ATENOLOL,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1
ASPIRIN,CC(=O)Oc1ccccc1C(=O)O
TRIFLUOPERAZINE,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
SULPIRIDE,CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC
BETAXOLOL,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1
SALICYLIC ACID,O=C(O)c1ccccc1O
OLSALAZINE,O=C(O)c1cc(/N=N/c2ccc(O)c(C(=O)O)c2)ccc1O
PROPRANOLOL,CC(C)NCC(O)COc1cccc2ccccc12
PRACTOLOL,CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1
MECHLORETHAMINE,CN(CCCl)CCCl
PENICILLIN G,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O
TROVAFLOXACIN,N[C@@H]1[C@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]12
CIMETIDINE,CN/C(=N\CCSCc1nc[nH]c1C)NC#N
GATIFLOXACIN,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12
LABETALOL,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1
MOXIFLOXACIN,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12
LEVOFLOXACIN ANHYDROUS,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23
GEMIFLOXACIN,CO/N=C1\CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1CN
SPIRAPRIL,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2
VALPROATE SODIUM,CCCC(CCC)C(=O)[O-].[Na+]
ISOPROTERENOL,CC(C)NCC(O)c1ccc(O)c(O)c1
HYDROCHLOROTHIAZIDE,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O
FUROSEMIDE,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl
PYRIMETHAMINE,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1
TOLRESTAT,COc1ccc2c(C(=S)N(C)CC(=O)O)cccc2c1C(F)(F)F
SULFATHIAZOLE,Nc1ccc(S(=O)(=O)Nc2nccs2)cc1
SULFAMERAZINE,Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1
SULFADIAZINE,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1
THIAMYLAL,C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O
THIOPENTAL,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O
CYCLOBARBITAL,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O
ERGOTAMINE,CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21
TRETINOIN,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1
METHOHEXITAL,C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O
PHENOBARBITAL,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O
FLUOXETINE,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1
SULFAMETHOXAZOLE,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1
BARBITAL,CCC1(CC)C(=O)NC(=O)NC1=O
CLOZAPINE,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1
NORTRIPTYLINE,CNCCC=C1c2ccccc2CCc2ccccc21
SULFAMETHAZINE,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1
SECOBARBITAL,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O
PENTOBARBITAL,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O
QUINACRINE,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12
AMOBARBITAL,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O
HEXOBARBITAL,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O
BUTABARBITAL,CCC(C)C1(CC)C(=O)NC(=O)NC1=O
APROBARBITAL,C=CCC1(C(C)C)C(=O)NC(=O)NC1=O
METHARBITAL,CCC1(CC)C(=O)NC(=O)N(C)C1=O
CHLORDIAZEPOXIDE,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1
MELAGATRAN,N=C(N)c1ccc(CNC(=O)[C@@H]2CCN2C(=O)[C@H](NCC(=O)O)C2CCCCC2)cc1
CLONAZEPAM,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1
SULFISOXAZOLE,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C
SULFAMETHOXYPYRIDAZINE,COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1
BUTALBITAL,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O
SULFACETAMIDE,CC(=O)NS(=O)(=O)c1ccc(N)cc1
AMSACRINE,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12
ETHACRYNIC ACID,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl
TICRYNAFEN,O=C(O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl
GEMFIBROZIL,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1
MELATONIN,COc1ccc2[nH]cc(CCNC(C)=O)c2c1
ONDANSETRON,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O
BUSPIRONE,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1
KETANSERIN,O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1
METHYLDOPA,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O
MOLINDONE,CCc1c(C)[nH]c2c1C(=O)C(CN1CCOCC1)CC2
APOMORPHINE,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3
HALOPERIDOL,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
PENTAMIDINE,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1
AMINOHIPPURIC ACID,Nc1ccc(C(=O)NCC(=O)O)cc1
ETRETINATE,CCOC(=O)/C=C(C)/C=C/C=C(C)/C=C/c1c(C)cc(OC)c(C)c1C
NEVIRAPINE,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1
DRONABINOL,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21
MITOXANTRONE,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21
DOPAMINE,NCCc1ccc(O)c(O)c1
HYDROXYUREA,NC(=O)NO
PODOFILOX,COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC
ISONIAZID,NNC(=O)c1ccncc1
THALIDOMIDE,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1
KETOROLAC,O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O
SOTALOL,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1
GLYBURIDE,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1
HEXESTROL,CC[C@H](c1ccc(O)cc1)[C@@H](CC)c1ccc(O)cc1
DOFETILIDE,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1
DACARBAZINE,CN(C)/N=N/c1[nH]cnc1C(N)=O
ADENOSINE,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
THIORIDAZINE,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2
LANSOPRAZOLE,Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1
IRINOTECAN,CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC
MORPHINE,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5
CODEINE,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341
CHLORPROMAZINE,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21
DESIPRAMINE,CNCCCN1c2ccccc2CCc2ccccc21
AMINOGLUTETHIMIDE,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O
CROMOLYN SODIUM,O=C([O-])c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)[O-])cc(=O)c34)cccc2o1.[Na+].[Na+]
CHLOROQUINE,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12
PAROXETINE,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1
ETORICOXIB,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1
LIDOCAINE,CCN(CC)CC(=O)Nc1c(C)cccc1C
PIRENZEPINE,CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1
ETIDOCAINE,CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C
NALOXONE,C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5
RALOXIFENE,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12
TAMOXIFEN,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1
BROMOCRIPTINE,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12
ILOPROST,CC#CCC(C)[C@H](O)/C=C/[C@@H]1[C@H]2C/C(=C/CCCC(=O)O)C[C@H]2C[C@H]1O
TOPOTECAN,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1
RISPERIDONE,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2
CROMOLYN,O=C(O)c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)O)cc(=O)c34)cccc2o1
METOCLOPRAMIDE,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC
PACLITAXEL,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O
ALPROSTADIL,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O
HEXACHLOROPHENE,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl
CLIOQUINOL,Oc1c(I)cc(Cl)c2cccnc12
AGOMELATINE,COc1ccc2cccc(CCNC(C)=O)c2c1
CYCLOPHOSPHAMIDE ANHYDROUS,O=P1(N(CCCl)CCCl)NCCCO1
CHLORPROPAMIDE,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1
TIMOLOL,CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1
PINDOLOL,CC(C)NCC(O)COc1cccc2[nH]ccc12
HYDRALAZINE,NNc1nncc2ccccc12
AMPHETAMINE SULFATE,CC(N)Cc1ccccc1.O=S(=O)(O)O
AMPHOTERICIN B,C[C@@H]1[C@H](O)[C@@H](C)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)CC(=O)O[C@H]1C)C[C@H](O)[C@H]2C(=O)O
HISTAMINE,NCCc1c[nH]cn1
MICONAZOLE,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1
DOCETAXEL ANHYDROUS,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C
ZILEUTON,CC(c1cc2ccccc2s1)N(O)C(N)=O
PHYSOSTIGMINE,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C
TACRINE,Nc1c2c(nc3ccccc13)CCCC2
DONEPEZIL,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2
LOVASTATIN,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
OZAGREL,O=C(O)/C=C/c1ccc(Cn2ccnc2)cc1
BENZYDAMINE,CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12
ACETANILIDE,CC(=O)Nc1ccccc1
DIMETHYL SULFOXIDE,C[S+](C)[O-]
CHLORPHENIRAMINE,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1
PRIMAQUINE,COc1cc(NC(C)CCCN)c2ncccc2c1
MECLOFENAMIC ACID,Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl
PYRILAMINE,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1
SERTINDOLE,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1
CARMUSTINE,O=NN(CCCl)C(=O)NCCCl
LOMUSTINE,O=NN(CCCl)C(=O)NC1CCCCC1
CHLORAMBUCIL,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1
CYPROHEPTADINE,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1
INAMRINONE,Nc1cc(-c2ccncc2)c[nH]c1=O
DISOPYRAMIDE,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C
VORINOSTAT,O=C(CCCCCCC(=O)Nc1ccccc1)NO
IBUPROFEN,CC(C)Cc1ccc(C(C)C(=O)O)cc1
CLOMETACIN,COc1ccc2c(C(=O)c3ccc(Cl)cc3)c(C)n(CC(=O)O)c2c1
FLUNITRAZEPAM,CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21
NITRAZEPAM,O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1
METHOXAMINE,COc1ccc(OC)c(C(O)C(C)N)c1
PROPOFOL,CC(C)c1cccc(C(C)C)c1O
PIROXICAM,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O
CEFTIZOXIME,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=CCS[C@H]12)c1csc(N)n1
PHENYLBUTAZONE,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O
AZITHROMYCIN,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O
AMDINOCILLIN,CC1(C)S[C@@H]2[C@H](/N=C/N3CCCCCC3)C(=O)N2[C@H]1C(=O)O
PERGOLIDE,CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21
ERYTHROMYCIN,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
IBUTILIDE,CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1
PROGESTERONE,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
KETOTIFEN,CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1
SUNITINIB,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C
HYDROQUINONE,Oc1ccc(O)cc1
ACETIC ACID,CC(=O)O
PHENOL,Oc1ccccc1
MEQUINOL,COc1ccc(O)cc1
CLOTRIMAZOLE,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
MITOMYCIN,CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@@H]1N[C@@H]12
ALCOHOL,CCO
OXPRENOLOL,C=CCOc1ccccc1OCC(O)CNC(C)C
FLUCONAZOLE,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F
ISOTRETINOIN,CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)O)C(C)(C)CCC1
ILOPERIDONE,COc1cc(C(C)=O)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1
DINOPROSTONE,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(=O)O
NEOSTIGMINE,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1
REBOXETINE,CCOc1ccccc1OC(c1ccccc1)C1CNCCO1
CITALOPRAM,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21
PILOCARPINE,CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C
COLCHICINE,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2
ERLOTINIB,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
LAPATINIB,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1
TRIFLUPERIDOL,O=C(CCCN1CCC(O)(c2cccc(C(F)(F)F)c2)CC1)c1ccc(F)cc1
CARBAMAZEPINE,NC(=O)N1c2ccccc2C=Cc2ccccc21
VALPROIC ACID,CCCC(CCC)C(=O)O
TEMAFLOXACIN,CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)CCN1
BENZNIDAZOLE,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1
DEFEROXAMINE,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN
MEXILETINE,Cc1cccc(C)c1OCC(C)N
DEXTROTHYROXINE,N[C@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O
RIMONABANT,Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1
NOMIFENSINE,CN1Cc2c(N)cccc2C(c2ccccc2)C1
LOMEFLOXACIN,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21
GRISEOFULVIN,COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O
FLURBIPROFEN,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1
PROMAZINE,CN(C)CCCN1c2ccccc2Sc2ccccc21
CLOFIBRATE,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1
ACETAMINOPHEN,CC(=O)Nc1ccc(O)cc1
CAFFEINE,Cn1c(=O)c2c(ncn2C)n(C)c1=O
PHENACETIN,CCOc1ccc(NC(C)=O)cc1
PERPHENAZINE,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
OXAZEPAM,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O
SULINDAC,CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc([S+](C)[O-])cc1
FENCLOFENAC,O=C(O)Cc1ccccc1Oc1ccc(Cl)cc1Cl
INDALPINE,c1ccc2c(CCC3CCNCC3)c[nH]c2c1
PROCAINE,CCN(CC)CCOC(=O)c1ccc(N)cc1
TRIFLUPROMAZINE,CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21
KETOPROFEN,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1
NITROFURANTOIN,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1
INDOPROFEN,CC(C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1
LINDANE,Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl
NIACIN,O=C(O)c1cccnc1
METHICILLIN,COc1cccc(OC)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O
TRICHLOROETHANE,CC(Cl)(Cl)Cl
ENALAPRILAT ANHYDROUS,C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O
ENALAPRIL,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O
LORAZEPAM,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O
BROMAZEPAM,O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1
BIFONAZOLE,c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1
ISOPROPYL ALCOHOL,CC(C)O
GREPAFLOXACIN,Cc1c(F)c(N2CCNC(C)C2)cc2c1c(=O)c(C(=O)O)cn2C1CC1
SAQUINAVIR,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1
INDINAVIR ANHYDROUS,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O
NELFINAVIR,Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C
AMPRENAVIR,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1
TRIAMTERENE,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1
PRONETALOL,CC(C)NCC(O)c1ccc2ccccc2c1
